,0,1,2,3,4,5,6,7
"[0, 0, 15, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 15, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 23, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 23, 0]",0.00021053929482696835,0.0004345114677226741,0.000315358764107179,0.00018121241660501894,0.00018686138300535662,0.004213452563178652,0.00012166633722289971,0.00017871283343985167
"[1, 1, 23, 1]",0.0,0.0,0.0,0.0,4.702195155000872e-05,0.0,0.0,0.0
"[1, 0, 8, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 23, 2]",1.2121240539098183e-06,4.2501442702613444e-07,8.189964102884182e-07,1.6461641089246231e-06,1.2439657089544013e-06,4.2458941259910837e-07,4.3328480876753465e-05,8.046765044358368e-07
"[1, 1, 23, 3]",8.143081087355805e-05,0.00014494277238808755,0.0,4.7462692829438996e-05,9.539152580410475e-05,9.439357081200316e-05,0.00011564431260337158,0.004978234212529093
"[1, 1, 23, 4]",3.470258170163507e-05,6.98914011261818e-05,0.003750783550466891,4.683505149568414e-07,3.543941404261608e-05,8.345311856209318e-05,3.470258170163507e-05,3.415148533377475e-05
"[1, 1, 23, 5]",0.0,0.0020018263709228115,0.0,0.0,0.0,0.0,0.0,0.0
