,0,1,2,3,4,5,6,7
"[0, 0, 15, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 15, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 23, 0]",9.290109804141785e-06,9.004029630976074e-08,1.7546737008649637e-07,0.0,8.659462908933308e-08,8.659462908933308e-08,0.0,1.7344562523739617e-07
"[1, 1, 23, 0]",0.00011583268131365657,0.00018972453365586023,9.562106700984929e-05,0.0002324952435709514,0.00017358003530553346,0.00012855670834364033,0.00014345677049521036,0.0009359199052812584
"[1, 1, 23, 1]",1.6352733444138152e-05,5.0058378320815905e-05,3.123391372934294e-05,1.623860714565784e-05,3.269168895577223e-05,6.449979025273869e-05,0.0016642702397944764,3.395653346598369e-05
"[1, 1, 23, 2]",0.0,1.6277334602003026e-05,4.8718428038573895e-05,4.905163882039856e-05,6.78927507513935e-05,3.243873560666784e-05,1.6063420784310155e-05,0.0016990499615944321
"[1, 1, 23, 3]",2.756818817539077e-05,0.00010060052820321079,4.273644409325553e-05,6.547138459163267e-05,6.986902972081947e-05,5.289817489291892e-05,3.168179782327041e-05,0.0014138403497887776
"[1, 1, 23, 4]",0.0018628926821327412,1.5027517976703614e-07,5.1007078714898486e-05,1.7123114792318993e-05,0.001858180479105512,3.5520354378576274e-05,3.549894482735596e-05,1.6962668858239896e-05
"[1, 0, 8, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 23, 5]",3.303101489474984e-05,0.0,1.4805965525461655e-07,0.0,0.0,1.5120337359015936e-07,2.998498967544879e-07,1.5379711230908888e-07
"[1, 1, 23, 6]",1.485047240611325e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 23, 7]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
